Model,Feature Set,RMSE,MAE,MAPE,Directional Accuracy
LGBM,OVX,2.505702074995527,1.7552625914279627,2.7439665806439315,0.3812154696132597
LGBM,GPR,2.8311787839274154,2.0041769844779194,3.1319803910745883,0.3301104972375691
LGBM,WTI_Only,2.8674314845453726,2.02194382269397,3.1619565291190277,0.3287292817679558
LGBM,AMEX+OVX,2.904642746244241,2.109314236401972,3.272172387937195,0.4046961325966851
LGBM,GPR+AMEX,2.9305869708130388,2.115792354865195,3.298182161736376,0.40193370165745856
LGBM,GPR+AMEX+INV+OVX,3.043230447297988,2.1952016596957966,3.4024780222289546,0.4102209944751381
LGBM,AMEX,3.064399038544621,2.224508928243125,3.453109258801821,0.40607734806629836
LGBM,OVX+MSCI,3.1214334074509846,2.1504260973580904,3.3184251454000973,0.3839779005524862
LGBM,GPR+INV,3.197397524142953,2.267020986693566,3.514844534914989,0.3301104972375691
LGBM,INV,3.1981515046157543,2.2932523852247906,3.562864416128958,0.3287292817679558
LGBM,AMEX+OVX+MSCI,3.2585903540441374,2.2927314055859034,3.5302772294028957,0.38812154696132595
LGBM,GPR+AMEX+INV,3.3113220257311657,2.399780586117455,3.723618033425917,0.393646408839779
LGBM,MSCI,3.3707487581230913,2.3419991939328835,3.6153921946277348,0.3453038674033149
LGBM,GPR+MSCI,3.562871802320072,2.4653719094104813,3.8006454530360085,0.32044198895027626
LGBM,AMEX+MSCI,3.5663580993452166,2.5215563511352435,3.880989265926433,0.4005524861878453
LGBM,GPR+AMEX+MSCI,3.590400159549638,2.536118736517206,3.9046254415561115,0.38812154696132595
LGBM,INV+MSCI,3.689513893564493,2.569535679914488,3.960162236277583,0.3494475138121547
LGBM,GPR+AMEX+INV+OVX+MSCI,3.693301390026977,2.581425923371239,3.965653222339193,0.393646408839779
