Feature Set,RMSE,MAE,MAPE,Directional Accuracy
AMEX,1.0941009404201503,0.7178047737415437,1.197960398469098,0.33
INV+MSCI,1.1035493671754975,0.7282519909998828,1.2146521702561803,0.33714285714285713
OVX+MSCI,1.1057707135987456,0.7410553098235081,1.2365245101834512,0.33
INV,1.1154472538823772,0.744479672245564,1.2389626160398879,0.3242857142857143
MSCI,1.1284975896415008,0.7664594742234861,1.2744918260756217,0.33
WTI_Only,1.1418381411069778,0.7624877725076065,1.2702611043155414,0.3271428571428571
GPR+AMEX+INV,1.144432014849754,0.783157494255207,1.306849247321416,0.32285714285714284
GPR,1.1463607159440126,0.7654777169873812,1.2784422760239738,0.32142857142857145
GPR+INV,1.1587899325047784,0.8103731296337955,1.3476037665754443,0.31857142857142856
AMEX+MSCI,1.1606071464336492,0.797840036563628,1.327185929076013,0.32571428571428573
GPR+AMEX,1.161411950537555,0.7929867675607108,1.319659860273357,0.3242857142857143
GPR+AMEX+INV+OVX,1.161552529983147,0.8161292407243972,1.3584865336056169,0.3414285714285714
OVX,1.1634953813095947,0.8125174609740684,1.3512240373402304,0.3414285714285714
GPR+MSCI,1.1850475182203024,0.815755377754505,1.3597256811538503,0.32571428571428573
AMEX+OVX+MSCI,1.2351052973217214,0.8717773252479021,1.453488111489591,0.3171428571428571
AMEX+OVX,1.4707302016081454,1.0842831695164825,1.80617237402543,0.32142857142857145
GPR+AMEX+MSCI,1.8998302573208787,1.4453261238566135,2.3821558008626504,0.33714285714285713
GPR+AMEX+INV+OVX+MSCI,1.971910408169531,1.5696849726134117,2.5701917913075816,0.3357142857142857
